ParticipantNumber,BlockNumber,Condition,SPQ,S1_CoPresence,S2_Attention,S3_Message,S4_Affection,S5_Emotion,S6_Behavior,SPQ_SectionAverage
P01,0,11,213,42,31,38,35,35,32,35.5
P02,0,11,182,39,18,32,40,21,32,30.333333333333332
P01,1,10,223,39,34,39,38,38,35,37.166666666666664
P02,1,10,135,26,20,38,29,16,6,22.5
P01,2,1,171,41,33,9,11,39,38,28.5
P02,2,1,184,42,27,35,33,11,36,30.666666666666668
P01,3,0,168,40,36,7,10,35,40,28.0
P02,3,0,199,42,26,28,34,32,37,33.166666666666664
P04,0,10,113,35,21,14,8,8,27,18.833333333333332
P03,0,10,120,26,10,14,18,22,30,20.0
P04,1,0,132,42,19,14,9,14,34,22.0
P03,1,0,151,34,9,25,25,32,26,25.166666666666668
P04,2,11,210,42,29,40,36,21,42,35.0
P03,2,11,201,40,26,35,33,29,38,33.5
P04,3,1,207,42,26,37,33,27,42,34.5
P03,3,1,201,36,31,32,34,30,38,33.5
P05,0,0,146,30,17,38,17,16,28,24.333333333333332
P06,0,0,205,38,30,36,30,34,37,34.166666666666664
P05,1,1,172,32,24,40,21,27,28,28.666666666666668
P06,1,1,218,40,23,40,39,38,38,36.333333333333336
P05,2,10,147,20,14,38,33,13,29,24.5
P06,2,10,224,41,28,40,35,38,42,37.333333333333336
P05,3,11,168,35,20,37,32,14,30,28.0
P06,3,11,215,40,24,37,35,39,40,35.833333333333336
P07,0,1,128,25,24,10,22,23,24,21.333333333333332
P08,0,1,180,39,25,38,16,21,41,30.0
P08,1,11,187,42,30,32,21,24,38,31.166666666666668
P07,1,11,132,23,20,20,12,26,31,22.0
P07,2,0,125,23,21,20,16,22,23,20.833333333333332
P08,2,0,56,9,16,6,6,10,9,9.333333333333334
P07,3,10,153,27,18,20,26,31,31,25.5
P08,3,10,64,8,17,7,16,10,6,10.666666666666666
P09,0,11,141,40,17,37,4,6,37,23.5
P10,0,11,170,28,29,38,15,27,33,28.333333333333332
P10,1,10,163,29,24,38,16,25,31,27.166666666666668
P09,1,10,80,23,16,20,4,6,11,13.333333333333334
P09,2,1,141,42,25,34,4,6,30,23.5
P10,2,1,158,30,25,24,17,32,30,26.333333333333332
P09,3,0,60,14,12,18,4,6,6,10.0
P10,3,0,164,30,25,34,16,27,32,27.333333333333332
P12,0,10,113,20,23,14,16,17,23,18.833333333333332
P11,0,10,156,32,16,19,24,33,32,26.0
P11,1,0,169,35,27,35,24,25,23,28.166666666666668
P12,1,0,139,24,27,24,14,21,29,23.166666666666668
P11,2,11,196,33,29,33,30,32,39,32.666666666666664
P12,2,11,146,32,24,27,14,21,28,24.333333333333332
P11,3,1,192,41,21,36,29,33,32,32.0
P12,3,1,139,33,26,18,15,18,29,23.166666666666668
P13,0,0,145,25,21,23,24,26,26,24.166666666666668
P14,0,0,124,35,22,17,11,17,22,20.666666666666668
P13,1,1,224,40,30,36,36,42,40,37.333333333333336
P14,1,1,149,34,24,24,17,25,25,24.833333333333332
P13,2,10,209,42,26,31,32,36,42,34.833333333333336
P14,2,10,142,30,24,21,13,28,26,23.666666666666668
P13,3,11,228,42,28,38,38,40,42,38.0
P14,3,11,173,35,22,26,24,33,33,28.833333333333332
P15,0,1,156,38,26,28,24,14,26,26.0
P16,0,1,158,34,21,29,20,25,29,26.333333333333332
P15,1,11,199,42,30,37,32,26,32,33.166666666666664
P16,1,11,174,35,21,31,25,30,32,29.0
P15,2,0,170,42,18,26,28,32,24,28.333333333333332
P16,2,0,126,22,16,21,12,27,28,21.0
P15,3,10,194,40,30,36,32,32,24,32.333333333333336
P16,3,10,141,17,19,24,21,30,30,23.5
P17,0,11,160,26,18,36,23,27,30,26.666666666666668
P18,0,11,135,36,16,19,18,24,22,22.5
P18,1,10,171,42,27,38,28,16,20,28.5
P17,1,10,172,32,22,38,28,22,30,28.666666666666668
P17,2,1,179,32,27,32,32,28,28,29.833333333333332
P18,2,1,149,37,18,18,24,26,26,24.833333333333332
P17,3,0,162,31,14,32,30,26,29,27.0
P18,3,0,168,38,16,32,22,30,30,28.0
P19,0,10,106,27,15,13,6,21,24,17.666666666666668
P20,0,10,124,18,32,38,4,14,18,20.666666666666668
P19,1,0,169,30,17,40,16,24,42,28.166666666666668
P20,1,0,71,18,24,8,4,11,6,11.833333333333334
P19,2,11,105,28,16,10,10,22,19,17.5
P20,2,11,158,38,29,13,15,28,35,26.333333333333332
P19,3,1,159,30,21,25,16,25,42,26.5
P20,3,1,121,30,18,34,14,11,14,20.166666666666668
P22,0,0,177,36,21,33,22,29,36,29.5
P21,0,0,205,38,12,38,37,38,42,34.166666666666664
P21,1,1,240,42,38,39,40,40,41,40.0
P22,1,1,168,31,24,32,14,31,36,28.0
P22,2,10,159,20,24,34,17,28,36,26.5
P21,2,10,141,31,14,30,20,20,26,23.5
P21,3,11,244,42,38,40,40,42,42,40.666666666666664
P22,3,11,193,36,25,34,26,36,36,32.166666666666664
P24,0,1,126,40,16,24,5,14,27,21.0
P23,0,1,143,28,24,26,14,19,32,23.833333333333332
P23,1,11,166,38,26,32,15,19,36,27.666666666666668
P24,1,11,145,38,21,32,18,7,29,24.166666666666668
P23,2,0,114,25,13,13,25,22,16,19.0
P24,2,0,141,34,28,25,10,6,38,23.5
P23,3,10,191,32,29,38,32,18,42,31.833333333333332
P24,3,10,153,38,24,40,17,6,28,25.5
P25,0,11,187,38,30,40,21,16,42,31.166666666666668
P26,0,11,169,37,18,34,18,26,36,28.166666666666668
P25,1,10,211,42,34,40,23,30,42,35.166666666666664
P26,1,10,117,20,16,19,17,18,27,19.5
P25,2,1,205,42,21,28,32,40,42,34.166666666666664
P26,2,1,173,40,23,21,27,26,36,28.833333333333332
P25,3,0,190,34,24,39,23,31,39,31.666666666666668
P26,3,0,159,30,22,18,22,33,34,26.5
P27,0,10,63,9,16,9,8,6,15,10.5
P28,0,10,116,24,28,20,12,6,26,19.333333333333332
P27,1,0,93,17,18,4,16,10,28,15.5
P28,1,0,129,39,24,18,8,13,27,21.5
P28,2,11,112,38,20,10,10,10,24,18.666666666666668
P27,2,11,131,28,17,21,19,20,26,21.833333333333332
P27,3,1,137,33,18,20,19,22,25,22.833333333333332
P28,3,1,160,42,15,23,16,36,28,26.666666666666668
P29,0,0,112,32,15,9,8,23,25,18.666666666666668
P30,0,0,122,33,22,14,8,13,32,20.333333333333332
P29,1,1,92,30,12,16,4,6,24,15.333333333333334
P30,1,1,182,42,32,30,30,12,36,30.333333333333332
P30,2,10,178,38,26,32,24,20,38,29.666666666666668
P29,2,10,71,8,14,12,8,6,23,11.833333333333334
P29,3,11,125,34,16,16,4,31,24,20.833333333333332
P30,3,11,191,37,30,32,28,22,42,31.833333333333332
P31,0,1,158,33,19,19,28,32,27,26.333333333333332
P32,0,1,172,39,23,28,22,25,35,28.666666666666668
P31,1,11,150,39,18,14,24,29,26,25.0
P32,1,11,192,38,24,32,28,32,38,32.0
P32,2,0,150,30,18,24,16,32,30,25.0
P31,2,0,159,37,19,18,26,30,29,26.5
P32,3,10,173,38,24,30,17,30,34,28.833333333333332
P31,3,10,152,40,16,16,23,29,28,25.333333333333332
