partiNumber,FOC_0,FOC_1,FOC_10,FOC_11,competitiveness_0,competitiveness_1,competitiveness_10,competitiveness_11,rewardFairness_0,rewardFairness_1,rewardFairness_10,rewardFairness_11
P01,3.9,4.2,8.45,8.61111111111111,3.55,3.45,8.35,8.666666666666666,6.5,6.8,8.7,8.5
P02,9.0,9.0,9.0,8.277777777777779,8.6,7.65,9.0,8.166666666666666,9.0,8.9,8.6,7.777777777777778
P03,6.333333333333333,7.9,6.75,7.666666666666667,5.055555555555555,6.5,6.666666666666667,7.777777777777778,7.666666666666667,7.7,6.833333333333333,8.333333333333334
P04,6.666666666666667,8.95,8.25,8.88888888888889,6.666666666666667,8.95,8.666666666666666,8.944444444444445,8.0,9.0,8.0,8.88888888888889
P05,8.5,9.0,8.9,8.95,8.5,8.6,8.95,8.95,8.8,9.0,9.0,9.0
P06,8.7,9.0,9.0,8.95,5.55,8.05,8.95,8.85,8.9,8.95,9.0,9.0
P07,5.823529411764706,6.933333333333334,6.777777777777778,6.9,5.705882352941177,6.733333333333333,6.611111111111111,6.25,5.294117647058823,6.4,5.388888888888889,6.1
P08,2.2941176470588234,5.2,3.7222222222222223,6.35,2.3529411764705883,6.266666666666667,4.222222222222222,6.5,4.0,9.0,5.722222222222222,6.95
P09,1.0,1.25,9.0,8.68421052631579,1.0,1.2,8.95,8.789473684210526,8.9,9.0,9.0,8.947368421052632
P10,1.2,1.95,8.95,9.0,1.0,1.0,8.95,8.473684210526315,8.4,7.4,9.0,8.947368421052632
P11,5.526315789473684,5.65,5.1875,7.2,5.052631578947368,4.65,5.6875,7.35,5.947368421052632,5.6,5.1875,6.9
P12,4.894736842105263,4.95,5.0625,5.7,2.526315789473684,1.0,3.3125,4.0,4.842105263157895,4.8,4.75,4.95
P13,5.3125,7.947368421052632,8.0625,8.88888888888889,5.9375,7.7368421052631575,8.125,8.944444444444445,6.375,8.052631578947368,7.875,8.333333333333334
P14,6.375,6.7368421052631575,5.875,7.388888888888889,4.625,6.157894736842105,6.4375,7.444444444444445,5.25,5.2105263157894735,6.0,6.0
P15,3.8,4.923076923076923,7.8,7.368421052631579,3.8,4.6923076923076925,7.75,7.368421052631579,5.0,5.615384615384615,7.75,7.368421052631579
P16,6.5,5.461538461538462,7.2,6.684210526315789,5.85,3.8461538461538463,6.2,6.368421052631579,6.95,5.923076923076923,6.85,6.631578947368421
P17,6.4,6.0,6.315789473684211,6.333333333333333,5.45,5.1,6.421052631578948,6.0,6.7,6.15,6.052631578947368,6.083333333333333
P18,7.5,7.1,8.210526315789474,7.666666666666667,6.15,4.25,8.210526315789474,7.25,7.4,6.85,8.210526315789474,7.583333333333333
P19,9.0,9.0,9.0,8.789473684210526,1.9473684210526316,1.4,6.933333333333334,8.578947368421053,8.631578947368421,8.6,5.0,8.157894736842104
P20,1.0,4.7,7.8,9.0,1.0,2.35,7.866666666666666,9.0,8.947368421052632,9.0,8.666666666666666,8.736842105263158
P21,9.0,9.0,9.0,9.0,8.5,9.0,9.0,9.0,8.555555555555555,9.0,9.0,9.0
P22,7.777777777777778,8.0,8.0,8.0,7.5,8.052631578947368,8.0,7.65,7.277777777777778,7.894736842105263,7.65,8.0
P23,5.473684210526316,6.230769230769231,5.7,6.133333333333334,3.263157894736842,5.538461538461538,7.85,6.266666666666667,6.578947368421052,7.230769230769231,7.65,6.8
P24,9.0,8.538461538461538,8.95,9.0,1.1578947368421053,5.538461538461538,9.0,8.733333333333333,7.894736842105263,8.615384615384615,8.6,8.333333333333334
P25,8.95,9.0,8.9,9.0,8.9,9.0,9.0,9.0,8.6,9.0,8.7,8.210526315789474
P26,3.6,4.3,6.8,7.2105263157894735,2.65,3.35,6.6,5.947368421052632,7.1,6.9,6.6,5.473684210526316
P27,5.533333333333333,2.8947368421052633,8.2,6.0588235294117645,5.333333333333333,1.2105263157894737,8.3,7.0588235294117645,6.466666666666667,3.8421052631578947,8.3,6.705882352941177
P28,7.333333333333333,7.157894736842105,9.0,9.0,6.2,1.0,9.0,8.823529411764707,8.466666666666667,6.315789473684211,9.0,8.941176470588236
P29,7.470588235294118,8.5,8.823529411764707,7.333333333333333,1.1764705882352942,1.4444444444444444,7.823529411764706,7.933333333333334,8.941176470588236,8.944444444444445,7.823529411764706,7.133333333333334
P30,6.411764705882353,7.666666666666667,7.294117647058823,8.2,5.0,7.666666666666667,7.294117647058823,8.4,5.294117647058823,5.833333333333333,8.647058823529411,8.933333333333334
P31,5.333333333333333,5.071428571428571,6.588235294117647,6.333333333333333,3.4444444444444446,3.7857142857142856,6.176470588235294,6.4,5.277777777777778,5.5,6.0,6.333333333333333
P32,1.7777777777777777,2.4285714285714284,8.176470588235293,8.2,1.9444444444444444,2.2142857142857144,8.176470588235293,8.0,7.277777777777778,6.928571428571429,7.9411764705882355,7.333333333333333
